,bleu,mean_loss,pp,val_loss
0,6.911476826175406,6.750655968726682,56.12237853848347,7.639391899108887
1,7.5398989927842495,6.4114251290872755,50.18627497936483,7.12074089050293
2,9.291277482265771,6.289798543979665,47.513294968331834,6.800782680511475
3,8.813269215731276,6.190317253240216,44.72454089331862,6.9369964599609375
4,9.493001499857083,6.120325816032949,41.697376111153,6.22676944732666
5,10.775296125559072,6.069360904612743,41.332828084587014,6.980127334594727
6,11.859661979514403,6.018907540644959,39.74303724168874,6.290576934814453
7,12.045880101742883,5.958707074382201,39.18136380754801,8.828189849853516
8,12.555610539215111,5.925256032975582,38.283945342421575,5.778595924377441
9,12.485655356944832,5.871153028589816,37.488406825654245,8.05057144165039
10,13.22308558958531,5.836329878335198,37.005746241480715,6.897457122802734
11,14.168680200857061,5.807093365556576,36.10210334924597,5.823535919189453
12,13.985947210025692,5.7646998193776815,35.91023968122112,5.884538650512695
13,13.87708653361247,5.715558241914714,34.79553542274354,5.6708855628967285
14,14.689741878198076,5.684193164110699,34.62856419707303,5.897104740142822
15,14.925152128609179,5.64535763943705,34.177748789959686,8.144186973571777
16,15.60221284118716,5.623285766995154,34.00530665621588,7.285740375518799
17,16.144069007154545,5.576464959139307,33.61236466750583,6.247236728668213
18,16.03369266305851,5.552755470065765,32.93157421407313,5.4315667152404785
19,16.047290649266657,5.5147245265350735,32.0017902346878,5.433269500732422
20,16.95893497233258,5.49662579365708,32.487860552029495,6.379308223724365
21,17.390217986380414,5.473320518400364,32.43444593159939,6.442427635192871
22,16.615806653451234,5.427375956279683,31.53030578674044,5.800780773162842
23,17.50342040522034,5.404773367583912,30.80805811730768,4.912175178527832
24,18.282509388049075,5.374528953010508,31.406431694861542,5.0891923904418945
